"indice_tiempo","provincia_de_destino","pais_de_residencia","destinos_visitados","turistas_no_residentes","pernoctes_no_residentes_en_provincia","pernoctes_no_residentes_en_pais","casos_muestrales","observaciones"
2022-01-01,"Buenos Aires","Bolivia","Provincia y resto",482,4218,9242,9,NA
2022-01-01,"Buenos Aires","Bolivia","Solo provincia",726,18810,18810,13,NA
2022-01-01,"Buenos Aires","Bolivia","Solo resto",2089,0,33376,36,NA
2022-01-01,"Buenos Aires","Brasil","Provincia y resto",524,8812,23294,5,NA
2022-01-01,"Buenos Aires","Brasil","Solo provincia",1719,30195,30195,16,NA
2022-01-01,"Buenos Aires","Brasil","Solo resto",13370,0,160150,125,NA
2022-01-01,"Buenos Aires","Chile","Provincia y resto",1014,10208,22092,12,NA
2022-01-01,"Buenos Aires","Chile","Solo provincia",1582,28382,28382,19,NA
2022-01-01,"Buenos Aires","Chile","Solo resto",6323,0,77281,76,NA
2022-01-01,"Buenos Aires","EE.UU y Canadá","Provincia y resto",4981,58219,115356,33,NA
2022-01-01,"Buenos Aires","EE.UU y Canadá","Solo provincia",8093,205700,205700,54,NA
2022-01-01,"Buenos Aires","EE.UU y Canadá","Solo resto",13539,0,246032,90,NA
2022-01-01,"Buenos Aires","Europa","Provincia y resto",5889,86575,170056,43,NA
2022-01-01,"Buenos Aires","Europa","Solo provincia",11007,292784,292784,77,NA
2022-01-01,"Buenos Aires","Europa","Solo resto",21953,0,520035,177,NA
2022-01-01,"Buenos Aires","Paraguay","Provincia y resto",262,786,1834,2,NA
2022-01-01,"Buenos Aires","Paraguay","Solo provincia",174,1044,1044,1,NA
2022-01-01,"Buenos Aires","Paraguay","Solo resto",875,0,2887,6,NA
2022-01-01,"Buenos Aires","Resto América","Provincia y resto",1844,10635,43065,20,NA
2022-01-01,"Buenos Aires","Resto América","Solo provincia",3291,79736,79736,35,NA
2022-01-01,"Buenos Aires","Resto América","Solo resto",11058,0,255164,120,NA
2022-01-01,"Buenos Aires","Resto del Mundo","Provincia y resto",257,5911,7710,1,NA
2022-01-01,"Buenos Aires","Resto del Mundo","Solo provincia",257,3084,3084,1,NA
2022-01-01,"Buenos Aires","Resto del Mundo","Solo resto",1972,0,34117,8,NA
2022-01-01,"Buenos Aires","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Buenos Aires","Uruguay","Solo provincia",173,4610,4610,3,NA
2022-01-01,"Buenos Aires","Uruguay","Solo resto",289,0,3103,5,NA
2022-01-01,"Caba","Bolivia","Provincia y resto",370,3052,6934,7,NA
2022-01-01,"Caba","Bolivia","Solo provincia",1957,29416,29416,34,NA
2022-01-01,"Caba","Bolivia","Solo resto",970,0,25078,17,NA
2022-01-01,"Caba","Brasil","Provincia y resto",1923,20378,41407,18,NA
2022-01-01,"Caba","Brasil","Solo provincia",10368,113420,113420,97,NA
2022-01-01,"Caba","Brasil","Solo resto",3322,0,58812,31,NA
2022-01-01,"Caba","Chile","Provincia y resto",1094,12804,24812,13,NA
2022-01-01,"Caba","Chile","Solo provincia",5669,66099,66099,68,NA
2022-01-01,"Caba","Chile","Solo resto",2156,0,36844,26,NA
2022-01-01,"Caba","EE.UU y Canadá","Provincia y resto",3159,18875,61961,22,NA
2022-01-01,"Caba","EE.UU y Canadá","Solo provincia",4825,67786,67786,36,NA
2022-01-01,"Caba","EE.UU y Canadá","Solo resto",18629,0,437341,119,NA
2022-01-01,"Caba","Europa","Provincia y resto",10311,88485,231233,76,NA
2022-01-01,"Caba","Europa","Solo provincia",6639,154380,154380,56,NA
2022-01-01,"Caba","Europa","Solo resto",21899,0,597262,165,NA
2022-01-01,"Caba","Paraguay","Provincia y resto",262,1048,1834,2,NA
2022-01-01,"Caba","Paraguay","Solo provincia",875,2887,2887,6,NA
2022-01-01,"Caba","Paraguay","Solo resto",174,0,1044,1,NA
2022-01-01,"Caba","Resto América","Provincia y resto",3086,39006,67879,35,NA
2022-01-01,"Caba","Resto América","Solo provincia",6744,159470,159470,72,NA
2022-01-01,"Caba","Resto América","Solo resto",6363,0,150616,68,NA
2022-01-01,"Caba","Resto del Mundo","Provincia y resto",257,771,3855,1,NA
2022-01-01,"Caba","Resto del Mundo","Solo provincia",1458,23837,23837,6,NA
2022-01-01,"Caba","Resto del Mundo","Solo resto",771,0,17219,3,NA
2022-01-01,"Caba","Uruguay","Provincia y resto",115,173,2175,2,NA
2022-01-01,"Caba","Uruguay","Solo provincia",174,928,928,3,NA
2022-01-01,"Caba","Uruguay","Solo resto",173,0,4610,3,NA
2022-01-01,"Catamarca","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Catamarca","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Catamarca","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Catamarca","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","EE.UU y Canadá","Solo resto",26613,0,567088,177,NA
2022-01-01,"Catamarca","Europa","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Europa","Solo resto",38849,0,982875,297,NA
2022-01-01,"Catamarca","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Catamarca","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Resto América","Solo resto",16193,0,377965,175,NA
2022-01-01,"Catamarca","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Catamarca","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Chaco","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Bolivia","Solo provincia",0,0,0,0,NA
